Tiempo (s),RPM referencia,Torque (N·m),Velocidad angular (rad/s),Potencia (W)
0.0,0.0,5.0,0.0,0.0
0.01001001001001001,3.003003003003003,4.994994994994995,0.31447373909807735,1.5707947528522583
0.02002002002002002,6.006006006006006,4.98998998998999,0.6289474781961547,3.1384416204282597
0.03003003003003003,9.00900900900901,4.984984984984985,0.9434212172942321,4.702940602728004
0.04004004004004004,12.012012012012011,4.97997997997998,1.2578949563923094,6.264291699751491
0.050050050050050046,15.015015015015013,4.974974974974975,1.5723686954903868,7.822494911498722
0.06006006006006006,18.01801801801802,4.96996996996997,1.8868424345884642,9.377550237969695
0.07007007007007007,21.02102102102102,4.964964964964965,2.201316173686542,10.929457679164413
0.08008008008008008,24.024024024024023,4.95995995995996,2.515789912784619,12.47821723508287
0.09009009009009009,27.027027027027025,4.954954954954955,2.8302636518826962,14.023828905725072
0.10010010010010009,30.030030030030026,4.94994994994995,3.1447373909807737,15.566292691091016
0.11011011011011011,33.033033033033036,4.944944944944945,3.4592111300788515,17.105608591180708
0.12012012012012012,36.03603603603604,4.93993993993994,3.7736848691769285,18.641776605994135
0.13013013013013014,39.03903903903904,4.934934934934935,4.088158608275006,20.174796735531313
0.14014014014014015,42.04204204204204,4.92992992992993,4.402632347373084,21.70466897979223
0.15015015015015015,45.04504504504504,4.924924924924925,4.717106086471161,23.23139333877689
0.16016016016016016,48.048048048048045,4.91991991991992,5.031579825569238,24.75496981248529
0.17017017017017017,51.05105105105105,4.914914914914915,5.346053564667315,26.275398400917435
0.18018018018018017,54.05405405405405,4.90990990990991,5.6605273037653925,27.792679104073322
0.19019019019019018,57.05705705705705,4.904904904904905,5.97500104286347,29.306811921952956
0.20020020020020018,60.06006006006005,4.8998998998999,6.289474781961547,30.81779685455633
0.21021021021021022,63.06306306306307,4.894894894894895,6.603948521059626,32.32563390188345
0.22022022022022023,66.06606606606607,4.88988988988989,6.918422260157703,33.830323063934316
0.23023023023023023,69.06906906906907,4.884884884884885,7.2328959992557795,35.33186434070891
0.24024024024024024,72.07207207207207,4.87987987987988,7.547369738353857,36.83025773220726
0.2502502502502503,75.07507507507508,4.874874874874875,7.861843477451935,38.325503238429356
0.2602602602602603,78.07807807807808,4.86986986986987,8.176317216550013,39.81760085937519
0.2702702702702703,81.08108108108108,4.864864864864865,8.49079095564809,41.30655059504476
0.2802802802802803,84.08408408408408,4.85985985985986,8.805264694746167,42.792352445438084
0.2902902902902903,87.08708708708708,4.854854854854855,9.119738433844244,44.275006410555136
0.3003003003003003,90.09009009009009,4.84984984984985,9.434212172942322,45.754512490395946
0.3103103103103103,93.09309309309309,4.844844844844845,9.748685912040399,47.23087068496049
0.3203203203203203,96.09609609609609,4.83983983983984,10.063159651138475,48.70408099424878
0.3303303303303303,99.09909909909909,4.834834834834835,10.377633390236554,50.17414341826082
0.34034034034034033,102.1021021021021,4.82982982982983,10.69210712933463,51.64105795699659
0.35035035035035034,105.1051051051051,4.824824824824825,11.006580868432708,53.10482461045611
0.36036036036036034,108.1081081081081,4.81981981981982,11.321054607530785,54.56544337863937
0.37037037037037035,111.1111111111111,4.814814814814815,11.635528346628861,56.02291426154637
0.38038038038038036,114.1141141141141,4.80980980980981,11.95000208572694,57.47723725917712
0.39039039039039036,117.1171171171171,4.804804804804805,12.264475824825016,58.928412371531614
0.40040040040040037,120.1201201201201,4.7997997997998,12.578949563923095,60.37643959860985
0.41041041041041043,123.12312312312314,4.794794794794795,12.893423303021175,61.82131894041184
0.42042042042042044,126.12612612612614,4.78978978978979,13.207897042119251,63.26305039693756
0.43043043043043044,129.12912912912913,4.784784784784785,13.522370781217328,64.70163396818701
0.44044044044044045,132.13213213213214,4.77977977977978,13.836844520315406,66.13706965416023
0.45045045045045046,135.13513513513513,4.774774774774775,14.15131825941348,67.56935745485715
0.46046046046046046,138.13813813813815,4.76976976976977,14.465791998511559,68.99849737027786
0.47047047047047047,141.14114114114113,4.764764764764765,14.780265737609636,70.42448940042229
0.4804804804804805,144.14414414414415,4.75975975975976,15.094739476707714,71.84733354529047
0.4904904904904905,147.14714714714714,4.754754754754755,15.40921321580579,73.26702980488238
0.5005005005005005,150.15015015015015,4.74974974974975,15.72368695490387,74.68357817919807
0.5105105105105106,153.15315315315317,4.744744744744745,16.03816069400195,76.09697866823748
0.5205205205205206,156.15615615615616,4.73973973973974,16.352634433100025,77.50723127200062
0.5305305305305306,159.15915915915917,4.734734734734735,16.667108172198102,78.91433599048752
0.5405405405405406,162.16216216216216,4.72972972972973,16.98158191129618,80.31829282369814
0.5505505505505506,165.16516516516518,4.724724724724725,17.296055650394255,81.71910177163252
0.5605605605605606,168.16816816816817,4.71971971971972,17.610529389492335,83.11676283429065
0.5705705705705706,171.17117117117118,4.714714714714715,17.92500312859041,84.5112760116725
0.5805805805805806,174.17417417417417,4.70970970970971,18.239476867688488,85.90264130377811
0.5905905905905906,177.17717717717719,4.704704704704705,18.553950606786564,87.29085871060747
0.6006006006006006,180.18018018018017,4.6996996996997,18.868424345884645,88.67592823216057
0.6106106106106106,183.1831831831832,4.694694694694695,19.18289808498272,90.0578498684374
0.6206206206206206,186.18618618618618,4.68968968968969,19.497371824080798,91.43662361943798
0.6306306306306306,189.1891891891892,4.684684684684685,19.811845563178874,92.8122494851623
0.6406406406406406,192.19219219219218,4.67967967967968,20.12631930227695,94.18472746561035
0.6506506506506506,195.1951951951952,4.674674674674675,20.440793041375027,95.55405756078216
0.6606606606606606,198.19819819819818,4.66966966966967,20.755266780473107,96.92023977067772
0.6706706706706707,201.2012012012012,4.664664664664665,21.069740519571187,98.28327409529703
0.6806806806806807,204.2042042042042,4.65965965965966,21.38421425866926,99.64316053464005
0.6906906906906907,207.2072072072072,4.654654654654655,21.69868799776734,100.99989908870684
0.7007007007007007,210.2102102102102,4.64964964964965,22.013161736865417,102.35348975749736
0.7107107107107107,213.2132132132132,4.644644644644645,22.327635475963497,103.70393254101164
0.7207207207207207,216.2162162162162,4.63963963963964,22.64210921506157,105.05122743924963
0.7307307307307307,219.2192192192192,4.634634634634635,22.95658295415965,106.3953744522114
0.7407407407407407,222.2222222222222,4.62962962962963,23.271056693257723,107.73637357989686
0.7507507507507507,225.22522522522522,4.624624624624625,23.585530432355803,109.07422482230612
0.7607607607607607,228.2282282282282,4.61961961961962,23.90000417145388,110.4089281794391
0.7707707707707707,231.23123123123122,4.614614614614615,24.21447791055196,111.74048365129583
0.7807807807807807,234.2342342342342,4.60960960960961,24.528951649650033,113.06889123787629
0.7907907907907907,237.23723723723722,4.604604604604605,24.843425388748113,114.3941509391805
0.8008008008008007,240.2402402402402,4.5995995995996,25.15789912784619,115.71626275520845
